"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7121896,1,1,1,1,26,5,6,NA,1764166.66666667,1,3,1
7121897,1,1,1,1,28,4,6,4,430000,1,3,1
7121898,1,1,1,2,41,2,6,3,730000,4,3,1
7121899,1,1,1,1,23,6,6,5,8e+05,3,3,1
7121901,1,1,1,2,49,4,6,3,562500,3,3,1
7121902,1,1,1,2,33,4,6,3,1402500,6,3,1
7121903,1,1,1,1,53,4,6,3,6e+05,1,3,1
7121904,1,1,1,1,49,5,6,3,635000,4,3,1
7121905,1,1,1,2,26,2,6,3,718333.333333333,4,3,1
7121906,1,1,1,1,54,2,6,5,1750000,3,3,2
7121907,1,1,1,2,40,4,6,3,190000,3,3,2
7121908,1,1,1,1,75,6,6,3,2630000,5,3,2
7121910,1,1,1,1,61,6,6,5,266666.666666667,2,3,2
7121911,1,1,1,1,83,6,6,3,715000,3,3,2
7121912,1,1,1,2,35,2,6,5,1595000,3,3,2
7121913,1,1,1,1,65,6,6,3,370833.333333333,3,3,1
7121914,1,1,1,1,38,5,6,4,1020000,1,3,1
7121915,1,1,1,2,53,3,6,3,5e+05,1,3,1
7121916,1,1,1,2,48,4,6,3,350000,1,3,1
7121919,1,1,1,2,85,3,6,4,1016911,1,3,2
7121920,1,1,1,2,58,4,6,13,4600000,2,3,2
7121921,1,1,1,2,29,6,6,7,1050000,4,3,3
7121922,1,1,1,2,38,2,6,11,2200000,4,3,2
7121923,1,1,1,2,48,4,6,5,625000,5,3,1
7121924,1,1,1,1,29,2,6,5,590000,4,3,1
7121925,1,1,1,2,63,3,6,3,1300000,3,3,2
7121926,1,1,1,1,27,6,6,5,1805000,3,3,2
7121927,1,1,1,2,80,3,6,3,1341666.66666667,2,3,2
7121928,1,1,1,1,49,6,6,5,1016833.33333333,6,3,2
7121929,1,1,1,2,73,4,6,3,695000,1,3,3
7121930,1,1,1,1,38,5,6,5,1600000,1,3,1
7121931,1,1,1,1,59,6,6,3,5400000,2,3,2
7121932,1,1,1,1,28,2,6,3,950000,1,3,2
7121933,1,1,1,2,36,3,6,7,1337666.66666667,3,3,1
7121934,1,1,1,2,41,6,6,6,1712666.66666667,5,3,2
7121935,1,1,1,2,53,5,6,3,550000,2,3,2
7121936,1,1,1,1,56,6,6,3,2266666.66666667,4,3,2
7121937,1,1,1,1,62,2,6,4,828116,2,3,2
7121939,1,1,1,2,40,4,6,5,1389782,3,3,2
7121940,1,1,1,2,55,3,6,3,9e+05,2,3,2
7121942,1,1,1,2,33,5,6,5,548000,2,3,2
7121942,2,1,1,2,50,5,6,4,548000,2,3,2
7121943,1,1,1,2,76,3,6,3,1048333.33333333,4,3,2
7121944,1,1,1,1,40,5,6,13,4036333.33333333,1,3,2
7121945,1,1,1,1,89,6,6,5,4215190.16666667,2,3,3
7121946,1,1,1,2,67,5,6,3,75000,3,3,3
7121947,1,1,1,1,73,6,6,3,1136666.66666667,2,3,3
7121949,1,1,1,2,61,4,6,5,4100000,3,3,3
7121950,1,1,1,1,66,2,5,11,5428116,4,3,3
7121951,1,1,1,2,49,5,6,5,550000,2,3,3
7121952,1,1,1,1,47,6,6,11,5361449.33333333,4,3,3
7121953,1,1,1,1,72,6,6,3,8e+05,2,3,3
7121954,1,1,1,2,31,4,6,13,2780833.33333333,2,3,2
7121955,1,1,1,1,52,6,6,13,6540000,2,3,3
7121956,1,1,1,2,85,4,6,3,525000,2,3,2
7121957,1,1,1,1,43,2,6,11,2300000,3,3,3
7121959,1,1,1,1,33,5,6,11,5e+06,1,3,3
7121960,1,1,1,1,48,6,6,13,4075000,5,2,3
7121961,1,1,1,1,32,1,6,11,1120000,2,2,3
7121962,1,1,1,2,38,1,6,3,0,4,2,3
7121963,1,1,1,2,66,6,6,3,1408333.33333333,2,2,3
7121964,1,1,1,2,58,5,6,3,2500000,2,2,3
7121966,1,1,1,2,96,3,6,3,8293750,4,2,3
7121967,1,1,1,2,41,5,6,13,1550000,1,2,3
7121967,2,1,1,2,18,5,6,NA,1550000,1,2,3
7121968,1,1,1,2,37,5,6,5,7e+05,2,2,3
7121969,1,1,1,2,36,5,6,7,2801407,3,2,3
7121970,1,1,1,2,60,3,6,3,139166.666666667,1,2,2
7121971,1,1,1,2,82,3,6,3,453333.333333333,1,2,2
7121972,1,1,1,1,62,4,6,3,1400000,1,2,2
7121973,1,1,1,2,54,5,6,5,6e+05,1,2,2
7121974,1,1,1,1,69,2,6,4,1100000,2,2,2
7121975,1,1,1,1,61,2,6,4,8e+05,2,2,2
7121976,1,1,1,1,56,2,6,4,9400000,2,2,2
7121977,1,1,1,1,60,2,6,7,1744287.5,4,2,2
7121978,1,1,1,1,47,6,6,9,4819500,4,2,2
7121979,1,1,1,1,63,4,6,4,250000,1,2,2
7121980,1,1,1,1,76,1,6,4,1400000,2,2,2
7121981,1,1,1,1,29,2,6,4,1310000,3,2,2
7121982,1,1,1,2,68,6,6,3,111666.666666667,2,2,2
7121983,1,1,1,1,43,6,6,7,1488116,5,2,2
7121984,1,1,1,2,58,4,6,4,115000,1,2,2
7121985,1,1,1,1,48,6,6,NA,2785000,3,2,2
7121987,1,1,1,1,47,1,6,3,1955574,5,2,2
7121989,1,1,1,2,42,4,6,3,420000,3,2,2
7121989,2,1,1,1,42,5,6,4,420000,3,2,2
7121990,1,1,1,2,62,4,6,3,533333.333333333,1,2,2
7121992,1,1,1,1,41,2,6,NA,911449.333333333,4,2,3
7121993,1,1,1,2,52,4,6,11,5462933.33333333,2,2,3
7121995,1,1,1,2,41,2,6,3,1262500,3,2,2
7121997,1,1,1,1,36,6,6,3,1179333.33333333,4,2,2
7122001,1,1,1,2,59,6,6,5,3006666.66666667,2,2,2
7122002,1,1,1,2,41,5,6,3,360000,2,2,2
7122003,1,1,1,1,85,3,6,11,1.3e+07,1,2,2
7122004,1,1,1,2,60,1,6,1,1700000,2,2,2
7122005,1,1,1,1,27,2,6,5,2400000,5,2,2
7122007,1,1,1,1,45,1,6,3,3260000,6,2,2
7122008,1,1,1,1,34,5,6,5,550000,1,2,2
7122009,1,1,1,2,88,3,6,1,583333.333333333,1,2,2
7122010,1,1,1,2,63,4,6,10,1830000,1,2,3
7122011,1,1,1,1,59,2,6,11,3e+06,2,2,3
7122012,1,1,1,1,50,2,6,11,3100000,2,2,3
