"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
2,58,4,6,10,4,115000,1,2,2
1,48,6,6,10,NA,2785000,3,2,2
1,47,1,6,5,3,1955574,5,2,2
2,42,4,6,9,3,420000,3,2,2
1,42,5,6,10,4,420000,3,2,2
2,62,4,6,7,3,533333.333333333,1,2,2
1,41,2,6,10,NA,911449.333333333,4,2,3
2,52,4,6,10,11,5462933.33333333,2,2,3
2,41,2,6,10,3,1262500,3,2,2
1,36,6,6,4,3,1179333.33333333,4,2,2
2,59,6,6,8,5,3006666.66666667,2,2,2
2,41,5,6,6,3,360000,2,2,2
1,85,3,6,6,11,1.3e+07,1,2,2
2,60,1,6,10,1,1700000,2,2,2
1,27,2,6,8,5,2400000,5,2,2
1,45,1,6,4,3,3260000,6,2,2
1,34,5,6,10,5,550000,1,2,2
2,88,3,6,6,1,583333.333333333,1,2,2
2,63,4,6,9,10,1830000,1,2,3
1,59,2,6,9,11,3e+06,2,2,3
1,50,2,6,10,11,3100000,2,2,3
1,46,2,6,9,11,2337500,4,2,3
1,78,6,6,8,3,2400000,3,2,3
1,23,2,6,9,NA,2930000,2,2,2
2,35,2,6,6,11,1635000,4,2,3
2,27,5,6,8,NA,3158333.33333333,3,2,3
2,54,5,6,5,3,775000,3,2,1
2,57,4,6,5,3,284583.333333333,1,2,NA
1,48,2,6,10,5,703333.333333333,4,2,0
1,64,6,6,10,3,220000,2,2,0
1,56,4,6,10,3,716666.666666667,1,2,1
1,72,4,6,10,3,164166.666666667,1,2,0
2,81,4,6,10,3,260000,1,2,1
1,79,6,6,7,1,2750000,3,2,1
1,52,4,6,9,1,1300000,1,2,0
2,66,4,6,7,1,279166.666666667,1,2,2
1,55,2,6,10,3,1081666.66666667,4,2,2
2,46,4,6,9,1,828333.333333333,3,2,2
2,34,2,6,6,11,2120000,5,2,2
2,65,3,6,10,3,774166.666666667,4,2,2
2,47,2,6,8,3,2600000,2,2,2
2,60,6,6,4,3,2180000,5,2,1
2,29,2,6,10,11,2180000,5,2,1
2,45,6,6,10,5,6e+05,3,2,1
2,58,4,6,6,3,2793500,2,2,4
1,66,2,6,9,3,4866666.66666667,2,2,3
1,52,6,6,10,7,4400000,4,2,4
2,22,1,6,10,7,2105365.33333333,2,2,4
2,30,4,6,8,6,1156616,3,2,2
1,57,6,6,5,5,1200000,3,2,2
1,31,2,6,8,5,1321666.66666667,4,2,2
2,48,4,6,10,4,1e+06,3,2,2
1,71,2,6,9,3,2934333.33333333,4,2,2
2,34,2,5,8,3,545000,5,2,2
2,24,2,6,10,9,2589523,2,2,2
1,63,6,6,8,3,1750000,3,2,2
2,62,6,6,8,3,3150000,3,2,3
2,32,4,6,8,9,1241666.66666667,4,2,2
1,34,6,6,7,3,1295000,4,2,2
2,50,4,6,2,5,550000,2,2,2
1,67,2,6,10,7,3068116,2,2,2
2,38,6,6,9,NA,4348500,5,2,3
1,74,3,6,8,3,1528116,3,2,2
1,58,4,6,8,3,1528116,3,2,2
2,70,3,6,8,3,3300000,2,2,2
2,44,4,6,5,4,3300000,2,2,2
2,44,4,5,10,9,1774833.33333333,1,2,2
2,26,5,6,8,6,345833.333333333,2,2,1
1,61,2,6,8,3,1280000,3,2,1
2,68,3,6,10,3,2561833.33333333,3,2,1
1,64,6,6,8,10,7e+05,2,2,1
1,73,6,6,10,1,2030500,8,2,1
1,39,4,6,8,7,854000,1,2,2
2,37,4,6,5,4,854000,1,2,2
2,38,2,6,8,5,1100000,4,2,2
1,38,2,6,8,4,2278666.66666667,4,2,2
2,57,3,6,5,1,225000,1,2,2
2,68,3,6,10,4,1828000,2,2,2
2,23,2,6,10,3,1030000,4,2,1
2,29,2,6,5,3,1030000,4,2,1
2,31,5,6,10,5,1288333.33333333,4,2,1
2,40,2,6,7,5,2527898.66666667,8,2,2
1,49,6,6,3,3,1175166.66666667,7,2,2
1,48,6,6,8,4,3850000,4,2,2
2,38,2,6,7,5,2530184.83333333,4,2,2
1,59,6,6,7,5,3539166.66666667,4,2,3
1,54,6,6,10,5,2128333.33333333,5,2,3
1,32,6,6,7,NA,2533333.33333333,3,2,2
1,56,6,6,10,5,1678116,2,2,3
2,51,1,6,10,7,2532032,2,2,3
2,69,5,6,7,5,1284366,2,2,2
1,20,5,6,5,5,8e+05,1,2,2
1,56,4,6,10,3,2200000,1,2,2
1,45,2,6,8,5,1400000,3,2,3
1,26,1,6,9,NA,4100000,3,2,3
1,56,6,6,8,4,2825000,5,2,3
2,56,3,6,10,5,3025728.66666667,3,2,3
2,63,6,6,10,3,650000,2,2,2
2,42,6,6,4,5,650000,2,2,2
1,84,6,6,7,1,1694981.33333333,3,2,2
1,57,6,6,5,3,1694981.33333333,3,2,2
2,30,6,6,8,9,1694981.33333333,3,2,2
1,62,6,6,10,5,6200000,2,2,2
2,48,2,6,8,3,2285000,4,2,2
1,66,5,6,10,4,1e+06,1,2,2
1,70,6,6,10,1,1300000,2,2,2
2,46,6,6,10,5,1300000,2,2,2
2,44,2,6,10,4,1300000,2,2,2
1,68,4,6,2,4,928116,1,2,2
1,24,2,6,8,4,30000,4,2,2
1,70,2,6,10,5,3140000,7,2,2
2,55,5,6,10,3,1325148,2,2,2
2,64,5,6,10,11,19100000,4,2,3
1,25,5,6,8,11,3975000,4,2,3
2,71,4,6,10,4,1855365.33333333,4,2,2
1,63,6,6,6,5,1340000,3,2,2
1,48,6,6,10,10,1953333.33333333,5,2,2
1,50,6,6,10,5,2883333.33333333,3,2,3
1,40,4,6,10,5,1800000,1,2,2
2,78,5,6,10,3,1092500,2,2,2
1,40,6,6,10,5,3695000,4,2,2
1,42,5,6,8,5,1700000,1,2,2
2,40,2,6,10,5,145000,2,2,2
2,39,2,6,10,4,480000,3,2,2
2,32,2,6,10,4,9e+05,5,2,2
1,27,2,6,9,5,1310395.33333333,3,2,2
2,63,2,6,7,3,1340511.33333333,7,2,2
1,46,5,6,8,10,7e+05,1,2,2
2,82,5,6,10,3,1208333.33333333,3,2,3
1,49,6,6,7,5,1280000,4,2,2
2,54,4,6,0,3,366666.666666667,4,2,2
2,88,3,6,7,3,3567791.66666667,4,2,3
2,28,6,6,8,11,2624933.33333333,2,2,2
1,68,6,6,8,4,2339383.66666667,5,2,2
1,63,6,6,8,9,3078116,4,2,2
1,54,6,6,10,4,4716333.33333333,3,2,2
1,21,5,6,5,11,8e+05,1,2,2
1,30,2,6,10,10,25322666.6666667,6,7,6
1,70,1,6,7,3,3541666.66666667,3,7,5
1,68,6,5,10,3,2308166.66666667,2,7,5
2,58,3,6,8,5,2632000,3,7,4
1,43,2,6,7,11,3625000,4,7,4
1,56,6,5,10,7,6991666.66666667,3,7,5
1,69,2,6,10,11,6375000,2,7,4
1,41,6,6,8,11,11363675.6666667,5,7,6
2,69,3,6,10,13,6658333.33333333,1,7,4
1,80,6,6,5,3,4125000,2,7,5
2,42,5,6,9,7,1800000,1,7,4
2,73,4,6,8,11,4508333.33333333,1,7,5
1,39,2,6,8,11,8323333.33333333,3,7,5
2,59,5,6,9,13,8507916.66666667,1,7,4
2,73,5,6,10,13,8201149.91666667,1,7,6
1,59,6,6,8,13,10425000,4,7,5
2,73,4,6,8,13,22030833.3333333,5,7,5
1,75,6,6,5,11,3e+06,4,7,4
2,66,6,6,0,10,0,2,7,5
1,62,6,6,10,13,21500000,2,7,6
1,36,6,6,10,13,8e+06,2,7,6
1,45,6,6,8,13,4.6e+07,2,7,6
2,50,6,6,9,11,6300000,4,7,5
2,57,6,6,10,13,19956666.6666667,2,7,5
2,59,3,1,10,3,25000,1,7,1
1,57,6,6,10,4,2937768.83333333,4,7,1
1,54,6,6,6,4,1648833.33333333,4,7,2
2,43,4,5,4,5,2741666.66666667,2,7,2
1,49,6,6,8,3,940000,3,7,2
1,33,6,6,8,6,2025000,5,7,2
2,27,4,6,10,7,10500000,3,7,3
1,56,6,5,10,5,1856945,5,7,4
1,48,2,6,10,5,2802485.33333333,5,7,3
1,59,6,5,10,3,1428333.33333333,9,7,2
1,34,2,6,10,7,2886666.66666667,3,7,3
1,26,5,6,8,5,2858333.33333333,1,7,3
1,46,6,6,10,7,5417000,4,7,3
1,71,4,6,8,4,280000,1,7,0
1,54,2,6,8,3,3385365.33333333,4,7,1
1,48,2,6,8,4,620000,3,7,1
1,69,2,6,8,3,2025241.66666667,2,7,1
2,60,3,6,10,1,2083333.33333333,1,7,1
1,23,5,5,10,6,2626198.66666667,2,7,1
2,47,4,6,7,3,780000,2,7,1
1,71,6,5,10,7,2250000,2,7,3
1,71,6,5,10,3,5433333.33333333,2,7,3
1,41,1,5,10,5,860000,5,7,2
1,47,6,6,7,5,2546666.66666667,3,7,1
1,49,2,5,10,1,1260000,4,7,1
2,39,3,5,5,7,757500,3,7,3
2,57,3,6,5,3,1888000,2,7,3
1,32,2,6,6,5,1164481.33333333,2,7,1
2,36,4,6,6,5,1164481.33333333,2,7,1
1,39,1,6,7,5,3064833.33333333,4,7,3
1,28,2,6,8,3,1035157.66666667,3,7,1
2,32,5,6,8,4,1835000,4,7,1
2,45,4,6,5,4,5e+05,2,7,1
1,47,2,6,10,5,1514000,5,7,1
1,54,2,6,8,4,1634000,4,7,1
1,72,2,6,8,3,1566666.66666667,3,7,2
1,41,2,6,8,3,2328243.66666667,4,7,1
1,62,2,6,8,5,2196032,3,7,1
1,51,2,5,5,3,1295000,3,7,2
1,71,6,6,5,3,2513333.33333333,2,7,2
1,45,2,5,10,3,850000,3,7,2
1,59,6,5,7,9,4534333.33333333,3,7,2
1,73,6,6,8,4,6142516,4,4,3
1,61,6,6,10,5,2766666.66666667,2,4,2
1,66,6,6,5,7,3658333.33333333,5,4,2
2,60,3,6,10,5,845000,3,4,3
1,77,6,6,8,5,2406666.66666667,2,4,2
2,38,4,6,10,5,365000,2,4,3
2,62,4,6,8,13,7665000,1,4,3
2,63,6,6,4,3,6383333.33333333,4,4,3
2,18,5,6,10,NA,533333.333333333,1,4,3
1,70,3,6,5,3,2774166.66666667,3,4,3
1,65,6,6,5,5,2450000,4,4,3
1,49,3,6,8,7,2794166.66666667,2,4,2
1,82,6,6,8,4,141666.666666667,2,4,3
1,50,2,6,8,5,1900000,3,4,2
1,53,2,6,5,4,670000,3,4,2
2,54,4,6,5,3,6954666.66666667,5,4,3
1,55,4,6,10,7,5e+05,1,4,3
2,76,3,6,8,3,1574916.66666667,1,4,3
2,24,5,1,10,NA,2794666.66666667,4,4,3
1,21,5,6,10,7,1460000,1,4,3
1,38,2,6,7,3,970500,4,4,3
2,68,4,6,9,3,1480000,4,4,1
1,59,2,5,10,3,1100000,3,4,1
2,47,4,6,3,3,627500,5,4,1
2,47,6,6,10,3,1929000,5,4,1
2,53,5,6,10,3,1314000,3,4,1
2,45,5,6,0,5,550000,3,4,1
2,61,3,6,5,3,320000,5,4,1
2,56,3,6,6,3,1330000,6,4,1
2,60,5,6,10,1,330000,1,4,1
2,53,4,6,8,7,1925116,4,4,1
1,29,2,6,10,7,3083333.33333333,5,4,1
2,59,5,6,5,3,305000,3,4,1
1,59,6,6,5,4,4e+05,2,4,1
1,47,6,6,10,3,1039500,4,4,1
2,45,2,6,4,4,2957416.66666667,5,4,1
2,38,6,6,9,3,880000,2,4,1
1,53,6,6,4,4,5883333.33333333,7,4,1
2,36,4,6,8,7,466666.666666667,3,4,1
2,35,2,6,6,3,951666.666666667,2,4,1
2,56,2,6,9,3,4e+05,4,4,1
1,45,4,6,5,5,854166.666666667,2,4,1
2,35,4,6,6,3,350000,2,4,1
1,69,6,6,6,1,777500,9,4,1
1,37,4,6,7,3,5e+05,3,4,1
2,51,4,6,10,4,715000,5,4,1
1,73,4,1,6,3,354166.666666667,5,4,1
1,59,6,6,8,3,520000,2,4,1
2,49,4,6,7,3,850000,3,4,1
1,28,6,6,8,5,850000,3,4,1
1,37,6,6,1,5,215000,3,4,1
2,44,1,6,6,3,417500,3,4,1
2,52,2,6,8,3,1241666.66666667,6,4,1
2,50,2,6,4,3,260000,7,4,1
1,37,2,6,9,5,1468282.66666667,4,4,1
2,55,3,6,6,3,1916000,9,4,1
2,35,2,6,5,3,935000,6,4,1
1,73,6,6,5,3,360000,2,4,1
2,65,3,6,6,3,1585000,4,4,1
2,80,3,6,0,4,3e+05,4,4,1
2,46,5,6,6,3,6561666.66666667,2,4,1
