"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","I_UGASTO","REGION","P8520S1","P8520S1A1","HIJOS"
1,45,6,6,10,3,1973833.33333333,1973833.33333333,3,1,1,3
2,47,4,6,6,5,853000,853000,3,1,1,2
2,35,2,6,10,4,1647333.33333333,1647333.33333333,3,1,2,2
1,70,6,6,10,3,744500,744500,3,1,1,1
1,26,5,6,8,NA,1764166.66666667,1764166.66666667,3,1,1,0
1,28,4,6,7,4,430000,430000,3,1,1,0
2,41,2,6,8,3,730000,730000,3,1,1,2
1,23,6,6,8,5,8e+05,8e+05,3,1,1,1
2,49,4,6,10,3,562500,562500,3,1,1,2
2,33,4,6,4,3,1402500,1402500,3,1,1,4
1,53,4,6,6,3,6e+05,6e+05,3,1,1,0
1,49,5,6,7,3,635000,635000,3,1,1,0
2,26,2,6,10,3,718333.333333333,718333.333333333,3,1,1,3
1,54,2,6,8,5,1750000,1750000,3,1,2,1
2,40,4,6,7,3,190000,190000,3,1,2,0
1,75,6,6,10,3,2630000,2630000,3,1,2,1
1,61,6,6,8,5,266666.666666667,266666.666666667,3,1,2,0
1,83,6,6,7,3,715000,715000,3,1,2,1
2,35,2,6,10,5,1595000,1595000,3,1,2,1
1,65,6,6,2,3,370833.333333333,370833.333333333,3,1,1,1
1,38,5,6,9,4,1020000,1020000,3,1,1,0
2,53,3,6,9,3,5e+05,5e+05,3,1,1,0
2,48,4,6,8,3,350000,350000,3,1,1,0
2,85,3,6,5,4,1016911,1016911,3,1,2,0
2,58,4,6,9,13,4600000,4600000,3,1,2,1
2,29,6,6,10,7,1050000,1050000,3,1,3,2
2,38,2,6,10,11,2200000,2200000,3,1,2,2
2,48,4,6,6,5,625000,625000,3,1,1,3
1,29,2,6,9,5,590000,590000,3,1,1,1
2,63,3,6,5,3,1300000,1300000,3,1,2,0
1,27,6,6,8,5,1805000,1805000,3,1,2,1
2,80,3,6,6,3,1341666.66666667,1341666.66666667,3,1,2,0
1,49,6,6,9,5,1016833.33333333,1016833.33333333,3,1,2,4
2,73,4,6,10,3,695000,695000,3,1,3,0
1,38,5,6,10,5,1600000,1600000,3,1,1,0
1,59,6,6,0,3,5400000,5400000,3,1,2,0
1,28,2,6,9,3,950000,950000,3,1,2,0
2,36,3,6,10,7,1337666.66666667,1337666.66666667,3,1,1,2
2,41,6,6,7,6,1712666.66666667,1712666.66666667,3,1,2,3
2,53,5,6,10,3,550000,550000,3,1,2,1
1,56,6,6,7,3,2266666.66666667,2266666.66666667,3,1,2,1
1,62,2,6,7,4,828116,828116,3,1,2,0
2,40,4,6,9,5,1389782,1389782,3,1,2,2
2,55,3,6,5,3,9e+05,9e+05,3,1,2,1
2,33,5,6,7,5,548000,548000,3,1,2,1
2,50,5,6,8,4,548000,548000,3,1,2,0
2,76,3,6,8,3,1048333.33333333,1048333.33333333,3,1,2,1
1,40,5,6,7,13,4036333.33333333,4036333.33333333,3,1,2,0
1,89,6,6,9,5,4215190.16666667,4215190.16666667,3,1,3,0
2,67,5,6,4,3,75000,75000,3,1,3,1
1,73,6,6,10,3,1136666.66666667,1136666.66666667,3,1,3,0
2,61,4,6,7,5,4100000,4100000,3,1,3,1
1,66,2,5,10,11,5428116,5428116,3,1,3,0
2,49,5,6,6,5,550000,550000,3,1,3,0
1,47,6,6,9,11,5361449.33333333,5361449.33333333,3,1,3,2
1,72,6,6,8,3,8e+05,8e+05,3,1,3,0
2,31,4,6,9,13,2780833.33333333,2780833.33333333,3,1,2,1
1,52,6,6,6,13,6540000,6540000,3,1,3,0
2,85,4,6,8,3,525000,525000,3,1,2,1
1,43,2,6,10,11,2300000,2300000,3,1,3,1
1,33,5,6,8,11,5e+06,5e+06,3,1,3,0
1,48,6,6,8,13,4075000,4075000,2,1,3,3
1,32,1,6,6,11,1120000,1120000,2,1,3,0
2,38,1,6,6,3,0,0,2,1,3,2
2,66,6,6,7,3,1408333.33333333,1408333.33333333,2,1,3,0
2,58,5,6,6,3,2500000,2500000,2,1,3,1
2,96,3,6,9,3,8293750,6323750,2,1,3,1
2,41,5,6,9,13,1550000,1550000,2,1,3,0
2,18,5,6,8,NA,1550000,1550000,2,1,3,0
2,37,5,6,6,5,7e+05,7e+05,2,1,3,1
2,36,5,6,8,7,2801407,2801407,2,1,3,2
2,60,3,6,5,3,139166.666666667,139166.666666667,2,1,2,0
2,82,3,6,2,3,453333.333333333,453333.333333333,2,1,2,0
1,62,4,6,8,3,1400000,1400000,2,1,2,0
2,54,5,6,10,5,6e+05,6e+05,2,1,2,0
1,69,2,6,10,4,1100000,1100000,2,1,2,0
1,61,2,6,10,4,8e+05,8e+05,2,1,2,0
1,56,2,6,10,4,9400000,9400000,2,1,2,0
1,60,2,6,8,7,1744287.5,1744287.5,2,1,2,0
1,47,6,6,5,9,4819500,4819500,2,1,2,2
1,63,4,6,10,4,250000,250000,2,1,2,0
1,76,1,6,9,4,1400000,1400000,2,1,2,0
1,29,2,6,10,4,1310000,1310000,2,1,2,1
2,68,6,6,8,3,111666.666666667,111666.666666667,2,1,2,0
1,43,6,6,9,7,1488116,1488116,2,1,2,3
2,58,4,6,10,4,115000,115000,2,1,2,0
1,48,6,6,10,NA,2785000,2785000,2,1,2,1
1,47,1,6,5,3,1955574,1955574,2,1,2,3
2,42,4,6,9,3,420000,420000,2,1,2,2
1,42,5,6,10,4,420000,420000,2,1,2,0
2,62,4,6,7,3,533333.333333333,533333.333333333,2,1,2,0
1,41,2,6,10,NA,911449.333333333,911449.333333333,2,1,3,2
2,52,4,6,10,11,5462933.33333333,5462933.33333333,2,1,3,1
2,41,2,6,10,3,1262500,1262500,2,1,2,1
1,36,6,6,4,3,1179333.33333333,1179333.33333333,2,1,2,2
2,59,6,6,8,5,3006666.66666667,3006666.66666667,2,1,2,0
2,41,5,6,6,3,360000,360000,2,1,2,1
1,85,3,6,6,11,1.3e+07,1.3e+07,2,1,2,0
2,60,1,6,10,1,1700000,1700000,2,1,2,0
1,27,2,6,8,5,2400000,2400000,2,1,2,1
1,45,1,6,4,3,3260000,3260000,2,1,2,4
1,34,5,6,10,5,550000,550000,2,1,2,0
2,88,3,6,6,1,583333.333333333,583333.333333333,2,1,2,0
2,63,4,6,9,10,1830000,1830000,2,1,3,0
1,59,2,6,9,11,3e+06,3e+06,2,1,3,0
1,50,2,6,10,11,3100000,3100000,2,1,3,0
1,46,2,6,9,11,2337500,2337500,2,1,3,2
1,78,6,6,8,3,2400000,2400000,2,1,3,1
1,23,2,6,9,NA,2930000,2930000,2,1,2,0
2,35,2,6,6,11,1635000,1635000,2,1,3,3
2,27,5,6,8,NA,3158333.33333333,3158333.33333333,2,1,3,1
2,54,5,6,5,3,775000,775000,2,1,1,1
